하수처리시설 현황	공공하수처리시설 현황(시도, 구군, 시설명, 소재지, 시설용량(㎥/일), 유입하수량(㎥/일), 방류량(㎥/일), 유입 BOD, 방류 BOD, 유입 COD, 방류 COD, 유입 SS, 방류 SS, 유입 T-N, 방류 T-N, 유입 T-P, 방류 T-P, 유입 총대장균 군수, 방류 총대장균 군수, 처리효율, 처리부하량(㎏BOD/D), 처리방법, 적용신기술, 연계처리량(㎥/일), 준공일, 가동개시일, 사업비(백만원), 방류수 소독방법, 수계, 지류, 세부단위 구역, 지역구분, 명칭, 목표수질(BOD), 재생에너지 이용률, 연간 총 전력사용량(㎾h/년), 하수처리량당 CO2배출량 (㎏CO2/㎥), 운영주체, 위탁업체명, 위탁비용(백만원/년), 위탁계약기간, 중심처리시설, 직원총수(명), 안전사고건수).
폐자원에너지_사용시설 처리실적	폐자원에너지인 고형연료제품을 사용하는 사용시설에서 고형연료제품 종료별로 (SRF, BIO-SRF) 공급받은 양과 실제 사용되어지는 월별 사용량.
폐자원에너지 기타 정보	폐자원에너지 고형연료제품 기타시설(매립가스시슬, 소각처분시설, 바이오가스화 시설) 에 대한 업체별 년간 데이터.
폐자원에너지_제조시설 처리실적	고형연료제품 (SRF, BIO-SRF 성형, 비성형) 에 대한 제조시설의 업체별 반입량 및 생산량을 나탄내는 연간 데이터.
폐자원에너지 웹페이지	폐자원에너지 종합정보관리시스템에 고형연료제품 과 관련되거나 기타 홈페이지에 링크된 웹페이지들 및 배너들의 목록 및 주소.
제조사용수입통계	폐자원에너지 종합정보관리시스템에 등록된 실적 정보의 제조시설, 사용시설, 수입시설의 총괄적인 년간 통계데이터.
냉매관리제도	냉매정보관리시스템(RIMS)에 등록된 데이터로 냉매사용기기 정보 중 제작사, 유형(압축방식), 용도, 냉매종류, 1일법정냉동능력(RT)을 제공.
유해화학물질 취급시설 검사_검사 시설 타입 및 공량수수료	유해화학물질 취급시설 검사 시설 타입 및 공량 수수료(시설타입공량 _검사방법, 시설타입공량_시설타입, 시설타입공량 _시설공량, 시설용량보정계수_시작용량, 시설용량보정계수_끝용량, 시설용량보정계수_시설용량보정계수, 시설타입_시설타입명).
하수처리시설 찌꺼기 처리 현황	공공하수처리시설 찌꺼기 처리 현황(시도, 구군, 행정구역명, 하수처리장명, 찌꺼기발생량_합계, 찌꺼기발생량_자체, 찌꺼기발생량_외부유입량, 함수율, 찌꺼기처리량_합계, 자체처리량_계, 자체처리량_소각, 자체처리량_고화, 자체처리량_탄화, 자체처리량_용융, 자체처리량_기타, 자체처리량_재활용_소계, 자체처리량_재활용_연료화, 자체처리량_재활용_퇴비화, 자체처리량_재활용_기타, 외부위탁처리량, 수도권광역처리).
친환경자동차 정보_저공해차 정보	친환경 자동차 중 저공해 자동차의 정보를 제공하여 저공해차 정보를 확인할 수 있는 용도로 활용할 수 있도록 함. 저공해차의 차명, 차량등록번호, 등록일자, 제작사명 등 제공.
통합기후변화홍보포털_접속통계	한국환경공단에서 운영하는 통합기후변화홍보포털 사이트의 2020년도 접속통계(접속날짜, 메뉴, 접속자 수 등).
하수도 보급률	년도별 전국 지자체 하수도 보급률(수계, 인구, 면적, 하수처리 1, 2, 3차처리내 공공하수처리인구, 하수처리구역내 1, 2, 3차처리 내 폐수처리인구, 하수처리구역외 미처리인구, 오수처리인구, 정화조인구, 인구보급률, 고도처리인구 보급률, 하수도설치율).
하수처리시설 찌꺼기처리시설 현황	공공하수처리시설 찌꺼기처리시설 현황(행정구역 시도, 행정구역 구군, 행정구역명, 하수처리장명, 찌꺼기처리 시설명, 처리방식, 시설용량, 일처리량, 일평균 가동시간, 연중가동일, 가동율).
사업장폐기물관리_배출 사업장 정보	올바로시스템에서 운영하는 폐기물 중 사업장폐기물에 대한 정보현황(기초시군구, 업체명, 폐기물구분 등).
빛공해환경영향평가 실태조사 지점 정보	빛공해환경영향평가 실태조사 지점 정보에 대한 자료로 소재지, 조명환경관리구역, 토지용도구역에 대한 정보.
비점오염원_시스템 기본정보	비점오염원관리 정보시스템의 자료를 관리하기 위한 기초 데이터로서 사업종류, 기상상태, 업종 및 하천 수계에 대한 세부 코드 정보를 제공.
폐기물배출및처리현황	올바로시스템에서 운영하는 폐기물 중 전국폐기물에 대한 정보현황(폐기물발생및처리현황, 시설보유현황 등)을 관리하는 데이터.
지정폐기물배출및처리현황	올바로시스템에서 운영하는 폐기물 중 지정폐기물에 대한 발생 및 처리현황(사업장폐기물, 의료폐기물 등)을 관리하는 데이터.
통합기후변화홍보포털_공지사항	한국환경공단에서 운영 중인 통합기후변화홍보포털(정보마당-공지사항)의 운영과 관련된 공지사항 게시글 데이터(구분, 제목, 작성자, 등록일).
RFID기반 음식물쓰레기 배출정보	음식물쓰레기 종량제의 일환으로 시행중인 RFID기반 음식물쓰레기 종량제 시스템을 채택한 지자체의 음식물쓰레기 배출통계정보를 제공하는 서비스로 월단위 지자체의 음식물쓰레기 배출통계정보를 제공하는 서비스로 월단위 종합 배출내역, 지자체 배출내역, 아파트 배출내역 등 다양한 통계정보를 조회할 수 있으며, 음식물쓰레기 수거함의 상세한 상태정보를 제공.
시설 기술진단안내	공공환경시설 기술진단안내(관련근거, 진단기관, 기술진단 대상시설 및 시기, 진단내용, 기대효과, 진단절차) 데이터.
대학온실가스인벤토리구축가이드라인	대학온실가스인벤토리구축가이드라인 매뉴얼(인벤토리 일반사항, 온실가스 배출량 산정방법, 배출량 산정툴 메뉴얼).
폐기물감량정보	사업장 폐기물 감량정보는 한국표준산업분류표 중 18개 업종의 사업장 중 폐기물 다량발생사업장의 일반폐기물 및 지정폐기물 감량현황 등을 제공.
소음진동측정망 운영정보	소음유형 중 환경소음자동측정망을 통해 전송한 데이터를 지역, 법적구분, 용도구분 등의 형태로 제공하는 일평균 데이터.
비점오염원_원격제어 정보	현재 운영하고 있는 국가 비점오염물질 측정망의 측정소 별 원격제어 수행 명령 이력 정보데이터를 제공. 상세 코드 정보는 "한국환경공단_비점오염원_시스템 기본정보"에서 확인하실 수 있음.
지정폐기물 배출 사업장 정보	올바로시스템에서 운영하는 폐기물 중 지정폐기물에 대한 연도별 배출 사업장 정보현황(시도, 시군구, 업체명, 연락처, 발생량(톤))을 관리하는 데이터.
철도소음 정보	소음유형 중 철도소음수동측정망을 통해 수집한 데이터를 권역, 대표노선, 지점, 용도구분 등의 형태로 반기별 데이터를 제공.
친환경자동차 정보_전기차구매보조금지급현황정보	전기자동차의 구매 보조금에 대한 전국의 17개 시도별 접수 방법, 민간공고대수, 접수대수, 출고 대수, 최대보조금 정보 등을 제공하여 보여 줍니다.
친환경차종합정보지원시스템 연구자료	친환경차 종합 정보 지원 시스템 연구자료의 게시판에 게시된 정보(자료의 업무 유형, 연구 자료의 제목, 작성자, 작성일자, 보도발행일자, 자료의 출처, 자료 등록 및 수정 일시 등)를 제공하여 줍니다.
